clean_tweet,relevant,entities,A,B,C
opensuse 2018:1802-1 important redis an update that fixes two vulnerabilities is ,1,B-PRO B-ID O O O O O O O O O,1,0,0
microsoft windows desktop bridge virtual registry incomplete fix exploit,1,B-ORG B-PRO O O O O B-VUL I-VUL I-VUL,0,0,1
windows 10 creators update brings new security capabilities microsoft introduces new enterprise security infosec,1,B-PRO B-VER O O O O O O B-ORG O O B-PRO O O,0,0,1
threatmeter cve-2018-7689 lack of permission checks in the initializedevelpackage function in opensuse open build ,1,O B-ID O O O O O O O O O B-PRO O O,1,0,0
vulnerability security webapps delux same day delivery script 1.0 sql injection,1,O O O O O O O O B-VER B-VUL I-VUL,1,1,0
ubuntu 16.04 lts linux-hwe linux-gcp linux-oem vulnerabilities usn-3677-2 ,1,B-PRO B-VER I-VER B-PRO O O O B-ID,0,1,0
ubuntu security usn-3151-3 linux kernel qualcomm snapdragon vulnerability,1,B-PRO O B-ID B-PRO I-PRO O O O,1,1,0
threatmeter microsoft internet explorer 9 ieframe cselectioninteractbuttonbehavior::_updatebuttonlocation use-aft ,1,O B-ORG B-PRO I-PRO B-VER O O O,0,0,1
cve-2016-9555 the sctp_sf_ootb function in net sctp sm_statefuns.c in the linux kernel before 4.8.8 lacks chunk-le ,1,B-ID O O O O O O O O O B-PRO I-PRO B-VER I-VER O O,1,1,0
threatmeter windows kernel object memory handling and initialization errors let local users obtain potentially sen ,1,O B-PRO I-PRO O B-VUL I-VUL I-VUL I-VUL I-VUL O O O O O O,0,0,1
office 365 users targeted by phishers employing simple html tricks,1,B-PRO B-VER O O O O O O O O,0,0,1
fantom ransomware windows update disguise a new ransomware called fantom has been discovered that infosec,1,O O B-PRO O O O O O O O O O O O O,0,0,1
microsoft windows desktop bridge virtual registry incomplete fix,1,B-ORG B-PRO O O O O B-VUL I-VUL,0,0,1
redhat rhsa-2018-1854:01 important kernel security and bug fix update an update for ,1,B-ORG B-ID O O O O O O O O O O,0,0,1
rhel 6 kernel rhsa-2018:1826 spectre nessus plugin id 110506 with high severity synopsis the remote red hat ,1,B-PRO B-VER O B-ID O O O O O O O O O O O B-ORG I-ORG,1,1,1
threatmeter cve-2018-6670 external entity attack vulnerability in the epo extension in mcafee common ui cui 2.0 ,1,O B-ID B-VUL I-VUL I-VUL I-VUL O O O O O B-ORG O O O B-VER,0,0,1
insecure mongodb configuration leads to boom in ransom attacks poor authentication in mongodb infosec,1,O B-PRO O O O O O B-VUL I-VUL O O O B-PRO O,1,1,0
na ms17-008 security update for windows hyper-v 4013082 severity rating criticalrevision note v1.0 march ,1,O B-ID O O O B-PRO O B-ID O O O O O O,0,0,1
cybersecurity how windows 10 data collection trades privacy for security infosec,1,O O B-PRO B-VER O O O O O O O,0,0,1
the number of ics attacks continues to increase ics hacking scada,1,O O O O O O O O O O B-PRO,0,0,1
zerofont technique lets phishing emails bypass office 365 security filters infosec,1,O O O O O O B-PRO I-PRO O O O,0,0,1
threatmeter freebsd apache httpd denial of service in http 2 cb0bf1ec-bb92-11e6-a9a5-b499baebfeaf ,1,O B-PRO I-PRO O B-VUL I-VUL I-VUL O O O O,1,0,0
security news attackers start wiping data from couchdb and hadoop databases,1,O O O O O O O B-PRO O B-PRO I-PRO,1,0,0
adobe flash player flaws remain the most used by exploit kits,1,B-ORG B-PRO I-PRO O O O O O O O O,0,0,1
dos microsoft internet explorer 9 ieframe cmarkup::remove pointer pos use-after-free ms13-055 ,1,O B-ORG B-PRO I-PRO B-VER O O O O B-VUL B-ID,0,0,1
ubuntu 14.04 lts 16.04 lts 17.10 ruby1.9.1 ruby2.0 ruby2.3 vulnerabilities usn-3685-1 ,1,B-PRO B-VER I-VER I-VER I-VER I-VER O O O O B-ID,0,1,0
research security mcafee virus scan enterprise opens linux machines to remote attackers,1,O O B-PRO I-PRO I-PRO I-PRO O B-PRO O O O O,1,1,1
threatmeter linux kernel up to 3.x strict page permission handler arch arm64 kernel sys.c privilege escalation,1,O B-PRO I-PRO B-VER I-VER I-VER O O O O O O B-PRO O B-VUL I-VUL,1,1,0
oracle s latest linux fixes new spectre lazy fpu patches beef up defenses security vulnerability ,1,B-ORG O O B-PRO O O B-VUL O O O O O O O O,1,0,0
cve-2016-10572 mongodb-instance before 0.0.3 installs mongodb locally mongodb-instance downloads binary ,1,B-ID O B-VER I-VER O B-PRO O O O O,1,1,0
0daytoday apache struts jakarta multipart parser ognl injection exploit remote exploits 0day exploit ,1,O B-PRO I-PRO O O O O O B-VUL I-VUL I-VUL O O,1,1,0
tom_napier the best way to avoid flash issues is to set the plug-in to click to play here s how gb,1,O O O O O O B-PRO O O O O O O O O O O O O O O,0,0,1
talos here s a serious windows bug microsoft chill it s not that serious theregister,1,O O O O O B-PRO O B-ORG O O O O O O O,0,0,1
threatmeter apache mod_session_crypto padding oracle,1,O B-PRO O O B-ORG,1,0,0
linux kernel up to 3.x strict page permission handler arch arm64 kernel sys.c privilege escalation,1,B-PRO I-PRO B-VER I-VER I-VER O O O O O O B-PRO O B-VUL I-VUL,1,1,0
can configuration manager manage windows defender in windows 10 understand how windows defender is infosec,1,O O B-PRO O B-PRO I-PRO O B-PRO B-VER O O B-PRO I-PRO O O,0,0,1
it security news daily summary stop us if you ve heard this one adobe flash gets emergency patch for infosec,1,O O O O O O O O O O O O O B-ORG B-PRO O O O O O,0,0,1
threatmeter microsoft windows crypto driver and windows installer bugs let local users obtain potentially sensiti ,1,O B-ORG B-PRO O O O B-PRO O O O O O O O O,0,0,1
threatmeter flash exploit found in seven exploit kits,1,O B-PRO O O O O O O,0,0,1
cve-2017-7465 it was found that the jaxp implementation used in jboss eap 7.0 for xslt processing is vulnerable to ,1,B-ID O O O O O O O O O B-PRO I-PRO B-VER O O O O O O,1,0,0
threatmeter leading linux distros dawdle as kernel flaw persists,1,O O B-PRO O O O B-PRO O O,1,1,0
microsoft azure flaw exposed rhel virtual machines to hacking risk in terms of delivering public cloud infosec,1,B-ORG B-PRO O O B-PRO O O O O O O O O O O O O,0,0,1
redhat rhsa-2018-1929:01 low libvirt security update an update for libvirt is now ,1,B-ORG B-ID O O O O O O O O O O,0,0,1
google chrome 52.0.2743.116 animations denial of service vulnerability google chrome 52.0.2743.116 animations de ,1,B-ORG B-PRO B-VER O B-VUL I-VUL I-VUL I-VUL B-ORG B-PRO B-VER O O,0,0,1
security news windows snooping patches kb 2952664 kb 2976978 are back again ,1,O O B-PRO O O B-ID I-ID I-ID I-ID O O O,0,0,1
threatmeter dos microsoft internet explorer 8 mshtml ptls5::ls find span visual boundaries memory corrupt ,1,O O B-ORG B-PRO I-PRO B-VER O O O O O O O O,0,0,1
microsoft event viewer 1.0 xxe injection packetstorm,1,B-ORG O O B-VER B-VUL I-VUL O,0,1,0
rhel 6 glibc rhsa-2018:1879 nessus plugin id 110603 with high severity synopsis the remote red hat host is ,1,B-PRO B-VER O B-ID O O O O O O O O O O B-ORG I-ORG O O,1,1,1
wordpress pie register blind sql injection,0,,0,0,1
ubuntu 3690-1 amd microcode update infosec,1,B-PRO B-ID O O O O,0,1,0
adobe flash player flaws remain the most used by exploit kits experts from the firm recorded future infosec,1,B-ORG B-PRO I-PRO O O O O O O O O O O O O O O O,0,0,1
vulnerability security dos microsoft internet explorer 11 mshtml cpaste command::convert bitmapto png he ,1,O O O B-ORG B-PRO I-PRO B-VER O O O O O O,0,0,1
ubuntu 18.04 lts haproxy vulnerability usn-3663-1 ,1,B-PRO B-VER I-VER O O B-ID,0,1,0
rt mcafee_labs our investigation into the patch of ms16-135 uncovered that ms16-135 updated win32k.sys on the target system more: ,1,O B-ORG O O O O O O B-ID O O B-ID O O O O O O O,0,0,1
research security cisco webex extension opens chrome users to drive-by malware attacks,1,O O B-ORG O O O B-PRO O O O O O,0,0,1
na cve-2016-5737 the gerrit configuration in the openstack ,1,O B-ID O O O O O B-PRO,1,0,0
vulnerability security papers i know where your page lives de-randomizing the latest windows 10 kernel,1,O O O O O O O O O O O O B-PRO B-VER B-PRO,0,0,1
adobe flash player flaws remain the most used by exploit adobe ek hacking,1,B-ORG B-PRO I-PRO O O O O O O O B-ORG O O,0,0,1
vulnerability security remote microsoft internet explorer jscript9 java script stack walker memory corru ,1,O O O B-ORG B-PRO I-PRO O B-PRO O O O O O,1,0,1
cve-2017-5577 the vc4_get_bcl function in drivers gpu drm vc4 vc4_gem.c in the videocore drm driver in the linux k ,1,B-ID O O O O O O O O O O O O O O O O B-PRO O,1,1,0
threatmeter webapps delux same day delivery script 1.0 sql injection,1,O O O O O O O B-VER B-VUL I-VUL,1,1,0
critical apache struts 2 vulnerability patch now thu mar 9th ,1,O B-PRO I-PRO B-VER O O O O O O,1,1,0
redhat jboss enterprise application platform 7.0.1 http response splitting vulnerability,1,B-ORG B-PRO I-PRO I-PRO I-PRO B-VER O O O O,1,0,1
threatmeter cve-2016-5725 directory traversal vulnerability in jcraft jsch before 0.1.54 on windows when the mod ,1,O B-ID B-VUL I-VUL I-VUL O O O B-VER I-VER O B-PRO O O O,0,0,1
0daytoday windows uac protection bypass via slui file handler hijack exploit 0day exploit ,1,O B-PRO B-VUL I-VUL I-VUL O O O O O O O O,0,0,1
june patch tuesday microsoft addresses dns-related vulnerability adobe patches critical flash pl trendmicro,1,O O O B-ORG O O O B-ORG O O B-PRO O O,0,0,1
microsoft rolls out kb 4010250 flash player update for windows 8.1 and 10,1,B-ORG O O B-ID I-ID B-PRO I-PRO O O B-PRO B-VER O B-VER,0,0,1
dos microsoft internet explorer 8 mshtml ptls5::ls find span visual boundaries memory corruption,1,O B-ORG B-PRO I-PRO B-VER O O O O O O B-VUL I-VUL,0,0,1
vulnerability security dos microsoft internet explorer 8 mshtml ptls5::ls find span visual boundaries ,1,O O O B-ORG B-PRO I-PRO B-VER O O O O O O,0,0,1
0daytoday apache struts jakarta multipart parser ognl injection exploit remote exploits 0day exploit ,1,O B-PRO I-PRO O O O O O B-VUL I-VUL I-VUL O O,1,1,0
cve-2016-8740 the mod_http2 module in the apache http server 2.4.17 through 2.4.23 when the protocols configurati ,1,B-ID O O O O O B-ORG O O B-VER I-VER I-VER O O O O,1,0,0
windows settings shortcuts settingcontent-ms files can be abused to run malicious code on windows 10 computers. ,1,B-PRO O O O O O O O O O B-VUL I-VUL O B-PRO B-VER O,0,0,1
cve-2017-5933 citrix netscaler adc and netscaler gateway 10.5 before build 65.11 11.0 before build 69.12 69.123 ,1,B-ID B-PRO O O O O O B-VER I-VER O B-VER I-VER I-VER O B-VER I-VER,1,0,0
threatmeter microsoft windows desktop bridge activation arbitrary directory creation,1,O B-ORG B-PRO O O O B-VUL I-VUL I-VUL,0,0,1
brand new threatpost news podcast mike_mimoso brokenfuses catch you up on the week s news,0,,0,1,0
citrix netscaler nonce generation flaw lets remote users obtain potentially sensitive information on the target sy ,1,B-PRO O O O O B-VUL I-VUL I-VUL I-VUL I-VUL I-VUL I-VUL O O O O,1,0,0
cve-2017-0004 the local security authority subsystem service lsass in microsoft windows vista sp2 windows serve ,1,B-ID O O O O O O O O B-ORG B-PRO I-PRO B-VER B-PRO O,0,0,1
new trustedsec security podcast ep2.3 flash exploits powershell expedia ,1,O O O O O B-PRO O B-PRO O,0,0,1
lastpass fixes serious security flaw in chrome firefox extensions darkreading,1,O O O O O O B-PRO O O O,0,0,1
cve-2017-5548 drivers net ieee802154 atusb.c in the linux kernel 4.9.x before 4.9.6 interacts incorrectly with the ,1,B-ID O O O O O O B-PRO I-PRO B-VER I-VER I-VER O O O O,1,1,0
vigilnce windows privilege escalation via secure boot,1,O B-PRO B-VUL I-VUL O O O,0,0,1
vulnerability security dos microsoft internet explorer 9 cdoc::execute script uri use-after-free ms13-0 ,1,O O O B-ORG B-PRO I-PRO B-VER O O O B-VUL B-ID,0,0,1
oracle interaction center intelligence 12.1.1 remote code execution vulnerability oracle interaction center inte ,1,B-ORG O O O B-VER B-VUL I-VUL I-VUL I-VUL B-ORG O O O,1,0,0
threatmeter fedora 25 3:mariadb 2017-801e01d1ed ,1,O B-PRO B-VER O O,1,0,0
threatmeter oracle has fixed 270 security flaws in its products,1,O B-ORG O O O O O O O O,1,0,0
debian dsa-4218-1 memcached security update nessus plugin id 110386 with medium severity synopsis the remote ,1,B-PRO B-ID O O O O O O O O O O O O O,0,1,0
fileless uac bypass uses windows backup and restore utility researcher matt nelson disclosed another infosec,1,O O O O B-PRO O O O O O O O O O O,0,0,1
threatmeter cve-2018-8247 an elevation of privilege vulnerability exists when office web apps server 2013 and offi ,1,O B-ID O B-VUL I-VUL I-VUL I-VUL O O B-PRO I-PRO I-PRO I-PRO B-VER O O,0,0,1
ubuntu 16.10 apt regression usn-3156-2 ,1,B-PRO B-VER O O B-ID,0,1,0
microsoft windows 7 sp1 nfo file handler msinfo32.exe privilege escalation,1,B-ORG B-PRO B-VER I-VER O O O O B-VUL I-VUL,0,0,1
chrome v8 promiseallresolveelementclosure element confusion,1,B-PRO B-VER O O O,0,0,1
cve-2017-2983 adobe shockwave versions 12.2.7.197 and earlier have an insecure library loading dll hijacking vul ,1,B-ID B-ORG B-PRO O B-VER I-VER I-VER O O O O O B-VUL I-VUL O,0,0,1
centos 7 packagekit cesa-2018:1224 ,1,B-PRO B-VER O B-ID,1,1,0
security assurance of docker containers with recent movements like devops and the conversion towards infosec,1,O O O B-PRO O O O O O O O O O O O,1,0,0
oracle applications dba remote code execution vulnerability oracle applications dba is prone to a remote code-exec ,1,B-ORG O O B-VUL I-VUL I-VUL I-VUL B-ORG O O O O O O B-VUL I-VUL,1,0,0
apache zookeeper x lt 3.4.10 3.5.x lt 3.5.4 missing authentication remote quorum joining vulnerability nessus,1,B-PRO I-PRO O B-VER I-VER I-VER I-VER I-VER B-VUL I-VUL I-VUL I-VUL I-VUL I-VUL O,0,1,0
threatmeter cve-2017-7200 an ssrf issue was discovered in openstack glance before newton the copy_from feature ,1,O B-ID O O O O O O B-PRO O O O O O O,1,0,0
vuln debian cve-2016-1253 remote command injection vulnerability debian cve-2016-1253 remote command infosec,1,O B-PRO B-ID B-VUL I-VUL I-VUL I-VUL B-PRO B-ID O O O,0,1,0
researchers at dr web spotted a windows version of the mirai bot,1,O O O O O O B-PRO O O O O O,0,1,1
threatmeter 0daytoday chromebackdoor graniet v3.0 web panel multi vulnerability webapps exploits vulnerabili ,1,O O B-PRO O O O O O O O O O,0,0,1
what s new in ubuntu 17.04 zesty zapus overview ubuntu 17.04 code named zesty zapus is the future release ,1,O O O O B-PRO B-VER O O O B-PRO B-VER O O O O O O O O,0,1,0
threatmeter analysis of the global public vulnerability research market 2015 key companies are adobe flash amp i ,1,O O O O O O O O O O O O O B-ORG B-PRO I-PRO O,0,0,1
threatmeter cve-2018-6670 external entity attack vulnerability in the epo extension in mcafee common ui cui 2.0. ,1,O B-ID B-VUL I-VUL I-VUL I-VUL O O O O O B-ORG O O O B-VER,0,0,1
my private tutor website builder script sql injection,0,,1,1,0
fedora 27 1:epiphany 2018-de5457b0a2 nessus,0,,0,1,0
adobe flash flaws dominate exploit kits in 2016 the top 10 vulnerabilities this year were mostly adobe infosec,1,B-ORG B-PRO O O O O O O O O O O O O O O B-ORG O,0,0,1
threat network dridex returns with windows uac bypass method,1,O O O O O B-PRO O O O,0,0,1
security news shadowbrokers offers for sale the stolen nsa windows hacking tools,1,O O O O O O O O O B-PRO O O,0,1,1
rt hasherezade my new post for malwarebytes from a fake wallet to a java rat ,1,O O O O O O O O O O O O O B-PRO O,1,0,1
windows 10 security can be bypassed by settings page weakness,1,B-PRO B-VER O O O O O O O O,0,0,1
cybersecurity microsoft rolls out windows 7 kb3212642 and monthly rollup kb3212646 infosec,1,O B-ORG O O B-PRO B-VER B-ID O O O B-ID O,0,0,1
microsoft windows 10 scrrun.dll active-x creation deletion issues,1,B-ORG B-PRO B-VER O O O O O,0,0,1
na cve-2017-3442 vulnerability in the oracle customer vulnerability in the oracle customer interaction hist ,1,O B-ID O O O B-ORG O O O O B-ORG O O O,1,0,0
cybersecurity windows 10 anniversary update protected users against two pre-patched exploits infosec,1,O B-PRO B-VER O O O O O O O O O,0,0,1
rt gcluley icymi adobe flash provides six of the top 10 bugs used by exploit kits in 2016 via dmbisson ,1,O O O B-ORG B-PRO O O O O O O O O O O O O O O O,0,0,1
windows doubleagent attack turns av tools into malware,1,B-PRO O O O O O O O,0,0,1
volteer95 hi manuel you can find the windows 10 version of halo wars 2 here,0,,0,0,1
app paths used to bypass user account control in windows 10,1,O O O O B-VUL I-VUL I-VUL I-VUL O B-PRO B-VER,0,0,1
last dridex trojan variant uses a new tactic to bypass windows dridex malware banks,1,O B-VUL I-VUL I-VUL O O O O O O B-PRO B-VUL I-VUL O,0,0,1
cve-2016-9313 security keys big_key.c in the linux kernel before 4.8.7 mishandles unsuccessful crypto registration ,1,B-ID O O O O O B-PRO I-PRO B-VER I-VER O O O O,1,1,0
cve-2016-9313 security keys big_key.c in the linux kernel before 4.8.7 mishandles unsuccessful crypto registration ,1,B-ID O O O O O B-PRO I-PRO B-VER I-VER O O O O,1,1,0
cve-2018-7689 lack of permission checks in the initializedevelpackage function in opensuse open build service ,1,B-ID O O O O O O O O O B-PRO O O O,1,0,0
cve-2017-7261 the vmw_surface_define_ioctl function in drivers gpu drm vmwgfx vmwgfx_surface.c in the linux kernel ,1,B-ID O O O O O O O O O O O B-PRO I-PRO,1,1,0
na rhsa-2017:0057 flash-plugin security update problem description an update for flash-plugin is now availabl ,1,O B-ID O O O O O O O O O O O O,0,0,1
linux kernel3.18.1 denial of service memory corruption vulnerability home ask the team mailing lis ,1,B-PRO B-VER B-VUL I-VUL I-VUL I-VUL I-VUL I-VUL O O O O O O,1,1,0
rt smgoreli poc works on latest vulnerable acrobat attached cve-2018-4990 acrobat reader dc double-free vulnerability,1,O O O O O O O B-PRO O B-ID B-PRO I-PRO O B-VUL I-VUL,0,0,1
threatmeter how to remove the cryptoshield ransomware from your computer windows 7 windows 8 windows 10 ,1,O O O O O O O O O O B-PRO B-VER B-PRO B-VER B-PRO B-VER,0,0,1
surprise microsoft issues flash patches for internet explorer edge microsoft sent an email to its infosec,1,O B-ORG O B-PRO O O B-PRO I-PRO O B-ORG O O O O O O,0,0,1
bugtraq apple-sa-2017-01-23-6 icloud for windows 6.1.1 pgp signed message-----hash sha512apple-s ,1,O B-ID O O B-PRO B-VER O O O O,0,0,1
threatmeter cisco rushing to develop patch for insecure webex chrome extension carly page computing.co.uk latest ,1,O B-ORG O O O O O O O B-PRO O O O O O,0,0,1
this new windows malware wants to add your pc to a botnet or worse,1,O O B-PRO O O O O O O O O O O O,0,0,1
the week in ransomware february 17th 2017 live hermes reversing amp scada poc ransomware,1,O O O O O O O O O O B-PRO I-PRO O O,0,0,1
cve-2017-2583 the load_segment_descriptor implementation in arch x86 kvm emulate.c in the linux kernel before 4.9. ,1,B-ID O O O O O B-VER O O O O B-PRO I-PRO B-VER I-VER,1,1,0
ubuntu 14.04 lts 16.04 lts elfutils vulnerabilities usn-3670-1 ,1,B-PRO B-VER I-VER I-VER I-VER O O B-ID,0,1,0
papers i know where your page lives de-randomizing the latest windows 10 kernel,1,O O O O O O O O O O B-PRO B-VER B-PRO,0,0,1
vuln multiple f-secure windows endpoint protection products arbitrary code execution vulnerability multiple f ,1,O O O B-PRO O O O B-VUL I-VUL I-VUL I-VUL O O,0,0,1
0daytoday microsoft windows 10 microsoftwindows windows10 child process restriction mitigatio 0day exploit ,1,O B-ORG B-PRO B-VER B-PRO I-PRO O O O O O O,0,0,1
threatmeter na cve-2017-6578 a sql injection issue is exploitable with ,0,,1,1,0
threatmeter links 20 3 2017 linux 4.11 rc3 openssh 7.5 released,1,O O O O O B-PRO B-VER O O B-VER O,1,1,0
0daytoday microsoft internet explorer 8 mshtml srun pointer::span qualifier run type out-of-bou 0day exploi ,1,O B-ORG B-PRO I-PRO B-VER O O O O O O O O O,0,0,1
expert found a 0day rce in microsoft windows jscript component securityaffairs hacking,1,O O O O B-VUL O B-ORG B-PRO O O O O,0,0,1
debian dla-1404-1 lava-server security update nessus plugin id 110786 with high severity synopsis the remote ,1,B-PRO B-ID O O O O O O O O O O O O O,0,1,0
cybersecurity windows 10 release date features devices and free upgrade windows 10 update protected infosec,1,O B-PRO B-VER O O O O O O O B-PRO B-VER O O O,0,0,1
rt _odisseus 0-day code injection and persistence technique with doubleagent can exploit from win xp to win 10 h t ,1,O O O B-VUL I-VUL O O O O O O O O O O O B-PRO I-PRO O O,0,0,1
cyber crooks latest tricks for targeting chrome users chrome users have lately been targeted with a few infosec,1,O O O O O O B-PRO O B-PRO O O O O O O O O O,0,0,1
na cve-2016-9191 the cgroup offline implementation in the linux the cgroup offline implementation in the li ,1,O B-ID O O O O O O B-PRO O O O O O O O,1,1,0
threatmeter cve-2017-5986 race condition in the sctp_wait_for_sndbuf function in net sctp socket.c in the linux k ,1,O B-ID B-VUL I-VUL O O O O O O O O O O B-PRO O,1,1,0
threatmeter cve-2016-9555 the sctp_sf_ootb function in net sctp sm_statefuns.c in the linux kernel before 4.8.8 l ,1,O B-ID O O O O O O O O O B-PRO I-PRO B-VER I-VER O,1,1,0
threatmeter apache zookeeper x lt 3.4.10 3.5.x lt 3.5.4 missing authentication remote quorum joining vulnerability ,1,O B-PRO I-PRO O B-VER I-VER I-VER I-VER I-VER O B-VUL I-VUL I-VUL I-VUL I-VUL,0,1,0
na cve-2017-3417 vulnerability in the oracle universal work vulnerability in the oracle universal work queu ,1,O B-ID O O O B-ORG O O O O O B-ORG O O O,1,0,0
steam profile integration 2.0.11 sql injection,1,O O O B-VER B-VUL I-VUL,1,1,0
cve-2017-5551 the simple_set_acl function in fs posix_acl.c in the linux kernel before 4.9.6 preserves the setgid ,1,B-ID O O O O O O O O B-PRO I-PRO B-VER I-VER O O O,1,1,0
rhel 6 xmlrpc3 rhsa-2018:1779 nessus plugin id 110280 with high severity synopsis the remote red hat host is ,1,B-PRO B-VER O B-ID O O O O O O O O O O B-ORG I-ORG O O,1,1,1
how to use powershell to investigate windows defender s malware signature definitions database what infosec,1,O O O B-PRO O O B-PRO I-PRO O O O O O O O,0,0,1
cve-2017-6951 the keyring_search_aux function in security keys keyring.c in the linux kernel through 3.14.79 allow ,1,B-ID O O O O O O O O O B-PRO I-PRO B-VER I-VER O,1,1,0
threatmeter cve-2016-8645 the tcp stack in the linux kernel before 4.8.10 mishandles skb truncation which allows ,1,O B-ID O O O O O B-PRO I-PRO B-VER I-VER O O O O O,1,1,0
email phishers using a simple way to bypass ms office 365 protection,1,O O O O O O O O O B-PRO B-VER O,0,0,1
google added mitigations for spectre in chrome 67 launched this week,1,B-ORG O O O B-VUL O B-PRO B-VER O O O,0,0,1
ms16-144 microsoft internet explorer scripting engine remote code execution ii 3204059 ,1,B-ID B-ORG B-PRO I-PRO O O B-VUL I-VUL I-VUL O B-ID,0,0,1
microsoft windows 10 x86 x64 wlan autoconfig named pipe proof of concept,1,B-ORG B-PRO B-VER I-VER I-VER O O O O O O O,0,0,1
linux kernel sg_write and bsg_write functions let local users obtain root privileges,1,B-PRO I-PRO O O O O O O O B-VUL I-VUL I-VUL,1,1,0
oracle linux 7 pki-core elsa-2018-1979 ,1,B-ORG B-PRO B-VER O B-ID,1,0,0
0daytoday mysql file uploader 1.0 id parameter sql injection vulnerability webapps exploits vulnerability ,1,O B-PRO O O B-VER O O B-VUL I-VUL I-VUL O O O,1,1,0
fedora 25 calamares 2016-561a937494 nessus,1,B-PRO B-VER O O O,0,1,0
security readings critical alert cve-2018-4990 acrobat reader dc double-fre see more,1,O O O O B-ID B-PRO I-PRO O O O O,0,0,1
mcafee epolicy orchestrator csv file handling arbitrary command execution sb10227 ,1,B-ORG B-PRO I-PRO O O O B-VUL I-VUL I-VUL O,0,0,1
cve-2016-7264 excel excel_for_mac excel_viewer office_compatibility_pack ,1,B-ID B-PRO O O O,0,0,1
adobe patches critical flash player bug with active exploit threatpost,1,B-ORG O O B-PRO I-PRO O O O O O,0,0,1
office 365 users targeted by phishers employing simple html tricks helpnetsecurity,1,B-PRO B-VER O O O O O O O O O,0,0,1
threatmeter microsoft s emet protects apps better than windows 10 researcher says,1,O B-ORG O O O O O O B-PRO B-VER O O,0,0,1
fedora 23 perl-dbd-mysql 2016-bf6c3ea62c ,1,B-PRO B-VER O O,1,1,0
vulnerability security vuln linux kernel ack challenge information disclosure vulnerability,1,O O O B-PRO I-PRO O O B-VUL I-VUL I-VUL,1,1,0
security flaw in mcafee enterprise software gives attackers root access the security company took six infosec,1,O O O B-ORG B-PRO I-PRO O O O O O O O O O O,0,0,1
zacinlo a stealthy amp persistent new malware targeting windows systems delivers adware and takes screenshots of ,1,O O O B-PRO O O O O B-PRO O O O O O O O,0,0,1
avanansecurity apwg apwg_eu zerofont phishing attack can bypass office 365,1,O O O O B-VUL I-VUL O O B-PRO B-VER,0,0,1
rhel 7 gluster storage rhsa-2017:0486 ,1,B-PRO B-VER O O B-ID,0,0,1
na cve-2016-5218 the extensions api in google chrome prior to ,1,O B-ID O O O O B-ORG B-PRO O O,0,0,1
local windows admins can hijack sessions without credentials,1,O B-PRO O O B-VUL I-VUL I-VUL I-VUL,0,0,1
chrome backs out of tls 1.3 support after proxy issues,1,B-PRO O O O O B-VER O O O O,0,0,1
siemens releases firmware updates to patch simatic flaws scada ics,1,B-ORG O O O O O O O B-PRO O,0,0,1
